ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B3K2YB52,0.479,0.5008250000000001,0.519,0.500633,99.96159530282,0.018175,4421300000,1500000000,2.95,1500000000.0,1,2011-07-11,71.6,2011-06-10
GB00B3K18323,0.479,0.498629,0.51,0.498438,99.961763634009,0.011371,5026350000,1500000000,3.35,1499999250.0,1,2011-07-18,67.55,2011-06-17
GB00B3K2RG15,0.49,0.517969,0.523,0.517301,99.871029073089,0.005031,5325500000,1000000000,5.33,999987500.0,3,2011-09-19,65.55,2011-06-17
GB00B6GXGG27,0.525,0.537417,0.5479999999999999,0.535981,99.73274386013,0.010583,8210500000,1500000000,5.47,1500000000.0,6,2011-12-19,54.0,2011-06-17
GB00B3NJQ171,0.48,0.497753,0.506,0.49756300000000003,99.96183078267401,0.008246999999999999,3390900000,1500000000,2.26,1500000000.0,1,2011-07-25,80.5,2011-06-24
GB00B6GXGB71,0.498,0.5130939999999999,0.517,0.5124380000000001,99.87224136573099,0.003906,6298950000,1000000000,6.3,1000000000.0,3,2011-09-26,45.0,2011-06-24
GB00B6GZMC62,0.522,0.538165,0.5489999999999999,0.536709,99.729439876765,0.010835,6347500000,1500000000,4.23,1499995000.0,6,2011-12-28,28.33,2011-06-24
GB00B3NJWC07,0.48,0.496033,0.501,0.495844,99.961962627348,0.004967,3927900000,1500000000,2.62,1499992000.0,1,2011-08-01,43.92,2011-07-01
GB00B6GXLC32,0.485,0.508948,0.515,0.5083030000000001,99.87327239715599,0.006051999999999999,3854700000,1000000000,3.85,999984600.0,3,2011-10-03,4.6,2011-07-01
GB00B6GZSH38,0.5,0.5376340000000001,0.5579999999999999,0.5361889999999999,99.73117115259599,0.020366,4653000000,1500000000,3.1,1499981000.0,6,2012-01-03,37.61,2011-07-01
GB00B3NK2127,0.48,0.493941,0.5,0.49375399999999997,99.96212298773399,0.006059,4266400000,1500000000,2.84,1499919500.0,1,2011-08-08,9.83,2011-07-08
GB00B6GXPH66,0.49,0.509196,0.514,0.50855,99.87321072366899,0.004804,4092450000,1000000000,4.09,999982000.0,3,2011-10-10,25.39,2011-07-08
GB00B6GZWF91,0.529,0.541768,0.55,0.540308,99.73058594805599,0.008232,5010800000,1500000000,3.34,1499989000.0,6,2012-01-09,61.82,2011-07-08
GB00B3K20D95,0.47,0.489043,0.498,0.48886,99.96249844154801,0.008957,2279750000,1000000000,2.28,999990000.0,1,2011-08-15,25.44,2011-07-15
GB00B3NJQ288,0.47,0.504866,0.51,0.504231,99.874287533794,0.0051340000000000005,3253750000,1000000000,3.25,999924500.0,3,2011-10-17,29.3,2011-07-15
GB00B6GY3S60,0.519,0.537724,0.54,0.5362859999999999,99.732591598045,0.002276,5148400000,1500000000,3.43,1499976810.0,6,2012-01-16,92.51,2011-07-15
GB00B3NKD649,0.47,0.474392,0.48,0.474219,99.96362152368299,0.005607999999999999,3841600000,500000000,7.68,499995000.0,1,2011-08-22,22.73,2011-07-22
